tick,flight_id,origin,destination,phase,altitude,delay
5,FL000,KRNT,KBFI,Initial_Climb,3000,0
5,FL001,KPAE,KGEG,Initial_Climb,3000,0
5,FL002,KOLM,KSEA,Initial_Climb,3000,0
5,FL003,KEUG,KSEA,Takeoff,500,0
5,FL004,KSEA,KEUG,Initial_Climb,3000,0
5,FL005,KEUG,KTTD,Takeoff,500,2
5,FL006,KRNT,KTTD,Takeoff,500,2
5,FL007,KEUG,KTTD,Takeoff,0,4
5,FL008,KBOI,KTTD,Takeoff,500,0
5,FL009,KBFI,KPDX,Initial_Climb,3000,0
5,FL010,KRNT,KBOI,Takeoff,0,4
5,FL011,KTTD,KPDX,Takeoff,500,0
6,FL000,KRNT,KBFI,Initial_Climb,3000,0
6,FL001,KPAE,KGEG,Initial_Climb,3000,0
6,FL002,KOLM,KSEA,Initial_Climb,3000,0
6,FL003,KEUG,KSEA,Initial_Climb,3000,0
6,FL004,KSEA,KEUG,Initial_Climb,3000,0
6,FL005,KEUG,KTTD,Takeoff,500,2
6,FL006,KRNT,KTTD,Takeoff,500,2
6,FL007,KEUG,KTTD,Takeoff,500,4
6,FL008,KBOI,KTTD,Initial_Climb,3000,0
6,FL009,KBFI,KPDX,Initial_Climb,3000,0
6,FL010,KRNT,KBOI,Takeoff,500,4
6,FL011,KTTD,KPDX,Initial_Climb,3000,0
7,FL000,KRNT,KBFI,Initial_Climb,3000,0
7,FL001,KPAE,KGEG,Initial_Climb,3000,0
7,FL002,KOLM,KSEA,Initial_Climb,3000,0
7,FL003,KEUG,KSEA,Initial_Climb,3000,0
7,FL004,KSEA,KEUG,Initial_Climb,3000,0
7,FL005,KEUG,KTTD,Initial_Climb,3000,2
7,FL006,KRNT,KTTD,Initial_Climb,3000,2
7,FL007,KEUG,KTTD,Takeoff,500,4
7,FL008,KBOI,KTTD,Initial_Climb,3000,0
7,FL009,KBFI,KPDX,Initial_Climb,3000,0
7,FL010,KRNT,KBOI,Takeoff,500,4
7,FL011,KTTD,KPDX,Initial_Climb,3000,0
8,FL000,KRNT,KBFI,Initial_Climb,3000,0
8,FL001,KPAE,KGEG,Initial_Climb,3000,0
8,FL002,KOLM,KSEA,Climb,12000,0
8,FL003,KEUG,KSEA,Initial_Climb,3000,0
8,FL004,KSEA,KEUG,Climb,12000,0
8,FL005,KEUG,KTTD,Initial_Climb,3000,2
8,FL006,KRNT,KTTD,Initial_Climb,3000,2
8,FL007,KEUG,KTTD,Initial_Climb,3000,4
8,FL008,KBOI,KTTD,Initial_Climb,3000,0
8,FL009,KBFI,KPDX,Climb,12000,0
8,FL010,KRNT,KBOI,Takeoff,500,4
8,FL011,KTTD,KPDX,Initial_Climb,3000,0
9,FL000,KRNT,KBFI,Climb,12000,0
9,FL001,KPAE,KGEG,Climb,12000,0
9,FL002,KOLM,KSEA,Climb,12000,0
9,FL003,KEUG,KSEA,Initial_Climb,3000,0
9,FL004,KSEA,KEUG,Climb,12000,0
9,FL005,KEUG,KTTD,Initial_Climb,3000,2
